to,from,Village Census code,Id,,,,,,
953,953,72012,2168,,,,,,
748,748,72181,1686,,,,,,
696,696,72413,1539,,,,,,
1244,1244,72360,2815,,,,,,
19495,19495,72089,2112,,,,,,
1271,1271,72331,2866,,,,,,
1286,1286,72397,2895,,,,,,
1277,1277,72309,2877,,,,,,
1329,1329,72348,2966,,,,,,
19658,697,72429,38267,,,,,,
19285,702,72455,1553,,,,,,
930,930,92075,2123,,,,,,
752,752,72187,1695,,,,,,
19658,698,72471,1545,,,,,,
969,1243,72389,2813,,,,,,
701,701,72446,1550,,,,,,
19658,19658,72421,1541,,,,,,
1256,1256,72217,2838,,,,,,
768,768,72114,1738,,,,,,
701,701,72468,45991,,,,,,
953,953,73184,2169,,,,,,
19285,19285,72655,45987,,,,,,
20742,20742,72318,43593,,,,,,
1247,1247,72342,2819,,,,,,
706,706,72439,1566,,,,,,
1316,1316,72229,2946,,,,,,
705,705,72459,1560,,,,,,
705,705,72456,1561,,,,,,
1261,1261,103975,2849,,,,,,
703,703,0,1556,,,,,,
965,965,72077,2207,,,,,,
1336,596,103244,1294,,,,,,
704,704,72432,1559,,,,,,
19661,19661,72437,1562,,,,,,
19123,19123,72498,1555,,,,,,
20722,722,72514,1603,,,,,,
19123,19123,78711,40993,,,,,,
19123,19123,72463,1557,,,,,,
957,957,71988,2182,,,,,,
19661,19661,72436,1563,,,,,,
19661,19661,72435,1564,,,,,,
912,912,71966,2089,,,,,,
19675,19675,71951,2141,,,,,,
1024,1024,0,2852,,,,,,
752,752,72186,1696,,,,,,
926,926,72090,2113,,,,,,
767,767,72110,1736,,,,,,
738,738,72443,1657,,,,,,
708,708,72727,1570,,,,,,
939,939,71999,2145,,,,,,
763,763,72111,1729,,,,,,
19110,658,73833,1419,,,,,,
1312,1312,72273,2938,,,,,,
19110,715,72492,1585,,,,,,
919,919,72003,2100,,,,,,
20723,744,0,1677,,,,,,
961,910,71962,2083,,,,,,
740,740,72125,1664,,,,,,
1330,1330,103318,2967,,,,,,
758,760,72101,1715,,,,,,
944,949,71956,2159,,,,,,
699,699,72476,1546,,,,,,
724,724,72504,1610,,,,,,
725,725,72507,1613,,,,,,
723,723,72511,1606,,,,,,
913,913,72009,2091,,,,,,
723,723,72508,1608,,,,,,
20724,764,72106,1731,,,,,,
1300,1300,72258,2920,,,,,,
1295,1295,72231,2910,,,,,,
19286,19286,72472,44007,,,,,,
1264,1264,72399,2854,,,,,,
20722,20722,72505,1611,,,,,,
714,714,72713,1584,,,,,,
923,923,72040,2107,,,,,,
20722,727,72484,1615,,,,,,
700,700,72466,1549,,,,,,
743,743,72129,1673,,,,,,
19285,19285,72485,1548,,,,,,
730,730,75005,1621,,,,,,
726,726,103466,1614,,,,,,
1275,1275,0,2873,,,,,,
729,729,72469,1619,,,,,,
729,729,72481,1620,,,,,,
729,732,72453,1647,,,,,,
1278,1278,72246,2880,,,,,,
729,736,72427,1654,,,,,,
923,923,0,2108,,,,,,
19304,19304,72297,2887,,,,,,
19116,19116,72502,1598,,,,,,
948,948,95649,38637,,,,,,
733,733,72423,1649,,,,,,
951,951,87578,2163,,,,,,
694,694,74763,1533,,,,,,
734,734,72422,1650,,,,,,
19129,739,72142,1661,,,,,,
19129,739,75998,1662,,,,,,
770,770,72153,1744,,,,,,
770,751,72175,1692,,,,,,
742,568,72615,1231,,,,,,
742,742,72140,1670,,,,,,
735,735,72452,1651,,,,,,
762,762,72104,1716,,,,,,
740,740,73372,1665,,,,,,
740,583,103330,1253,,,,,,
20723,20723,72155,1660,,,,,,
1317,1317,72262,2947,,,,,,
750,750,73244,1690,,,,,,
19101,970,0,2220,,,,,,
832,832,72828,1945,,,,,,
966,966,79313,2209,,,,,,
752,752,72194,1697,,,,,,
752,752,72188,1698,,,,,,
19372,19372,72490,1590,,,,,,
745,745,72162,1678,,,,,,
745,745,76590,1679,,,,,,
745,745,72170,1680,,,,,,
20724,20724,72165,1683,,,,,,
20738,1265,72396,2855,,,,,,
556,556,72150,1756,,,,,,
19101,19101,72070,40935,,,,,,
911,911,71961,2087,,,,,,
19108,1052,72524,2432,,,,,,
767,767,72108,1737,,,,,,
767,755,73479,1703,,,,,,
759,759,103443,38967,,,,,,
948,948,71958,2157,,,,,,
948,948,0,2158,,,,,,
911,911,71960,2088,,,,,,
20739,1267,74106,2860,,,,,,
756,756,72213,1706,,,,,,
757,757,72757,1707,,,,,,
1260,1260,72251,2846,,,,,,
757,675,73687,1480,,,,,,
757,531,73483,1171,,,,,,
754,754,72206,1701,,,,,,
1279,1279,72248,2883,,,,,,
754,754,72205,44305,,,,,,
701,701,72447,1551,,,,,,
771,771,72154,1747,,,,,,
1346,1346,798400,3003,,,,,,
766,630,76922,1345,,,,,,
953,953,71995,2170,,,,,,
19658,19658,72420,1542,,,,,,
762,762,72105,1724,,,,,,
762,762,91397,1728,,,,,,
761,761,73578,1719,,,,,,
761,761,72118,1721,,,,,,
761,761,72119,1722,,,,,,
20725,20725,89323,1723,,,,,,
20725,536,73550,1179,,,,,,
20725,20725,72098,1725,,,,,,
20725,20725,72102,1726,,,,,,
20725,20725,74433,1727,,,,,,
1308,1308,72292,2933,,,,,,
20725,765,0,1732,,,,,,
695,695,72412,1536,,,,,,
768,768,72134,1739,,,,,,
768,768,72112,1740,,,,,,
768,768,72115,1741,,,,,,
741,741,72141,48290,,,,,,
953,953,0,2171,,,,,,
1326,1326,72252,2961,,,,,,
20731,962,72015,2193,,,,,,
766,633,105170,1350,,,,,,
762,762,72099,1717,,,,,,
766,769,72138,1743,,,,,,
756,756,72211,1704,,,,,,
756,756,72212,1705,,,,,,
743,743,72163,1674,,,,,,
923,923,72038,2109,,,,,,
20741,1290,72335,2902,,,,,,
743,774,72161,1758,,,,,,
743,774,72160,1759,,,,,,
771,771,72147,1746,,,,,,
701,701,72449,1552,,,,,,
771,771,72145,1748,,,,,,
771,771,72159,1749,,,,,,
531,531,72228,2951,,,,,,
772,772,72169,45194,,,,,,
772,772,72643,1753,,,,,,
772,752,73302,43286,,,,,,
19495,19495,72078,2126,,,,,,
556,556,72670,1211,,,,,,
1279,1283,72314,2890,,,,,,
770,770,72148,1745,,,,,,
19372,721,72499,1599,,,,,,
770,751,72177,1693,,,,,,
20722,722,72516,1604,,,,,,
716,716,72714,1586,,,,,,
925,921,71970,2105,,,,,,
961,961,71989,2191,,,,,,
746,746,72189,1681,,,,,,
746,746,72190,1682,,,,,,
746,909,71982,2080,,,,,,
746,909,71981,2081,,,,,,
746,909,71980,2082,,,,,,
758,758,72192,1711,,,,,,
922,924,72039,2110,,,,,,
1312,1312,72272,2939,,,,,,
694,694,72408,1534,,,,,,
961,910,73386,2085,,,,,,
772,772,72172,1750,,,,,,
757,757,97841,1708,,,,,,
912,912,71965,2090,,,,,,
912,640,73755,1361,,,,,,
19116,19116,72461,1600,,,,,,
723,723,72510,1607,,,,,,
931,927,72085,2116,,,,,,
918,918,72025,2099,,,,,,
969,969,72065,2218,,,,,,
1258,1258,72221,2843,,,,,,
920,920,71968,2102,,,,,,
920,920,71967,2103,,,,,,
920,920,71969,2104,,,,,,
954,954,99496,2175,,,,,,
20741,20741,72312,2869,,,,,,
738,738,72451,1658,,,,,,
922,922,71971,2106,,,,,,
931,927,72086,2117,,,,,,
922,924,72037,39220,,,,,,
750,750,70662,42864,,,,,,
1292,1292,72338,2905,,,,,,
968,968,72060,2215,,,,,,
1301,1301,72226,2923,,,,,,
931,931,72030,2130,,,,,,
743,743,72128,1675,,,,,,
1257,1257,72216,2842,,,,,,
930,930,72083,2124,,,,,,
930,930,72096,2125,,,,,,
930,930,72080,2128,,,,,,
1300,1300,72257,2921,,,,,,
19495,932,72002,2131,,,,,,
928,928,76529,2119,,,,,,
747,747,72164,1684,,,,,,
766,766,72116,48208,,,,,,
711,711,72718,1577,,,,,,
1346,1346,798500,3004,,,,,,
1266,1266,72364,2859,,,,,,
772,772,72157,1751,,,,,,
19495,19495,72088,2115,,,,,,
19113,1034,72680,2389,,,,,,
959,959,72018,2187,,,,,,
928,928,72092,2118,,,,,,
772,772,89112,1752,,,,,,
694,664,0,1453,,,,,,
19116,19116,73533,1601,,,,,,
933,933,72032,2134,,,,,,
740,740,105086,3002,,,,,,
1337,1344,19781,3001,,,,,,
916,625,73321,1338,,,,,,
919,617,78225,1328,,,,,,
748,748,73642,1687,,,,,,
728,728,72486,1616,,,,,,
701,701,72445,45992,,,,,,
1297,1297,72253,2915,,,,,,
940,940,88250,2146,,,,,,
754,754,72204,1702,,,,,,
729,732,72517,1648,,,,,,
942,945,72023,2154,,,,,,
946,946,104118,2155,,,,,,
947,947,72020,2156,,,,,,
719,719,72717,1593,,,,,,
728,728,72487,1617,,,,,,
19495,19495,72087,2114,,,,,,
19101,1200,73155,2745,,,,,,
1336,1336,73944,2980,,,,,,
944,949,71957,2161,,,,,,
937,937,71954,2142,,,,,,
729,736,72444,1653,,,,,,
1284,1284,72334,2892,,,,,,
729,737,99615,1656,,,,,,
695,695,72414,1537,,,,,,
748,748,72180,1688,,,,,,
19372,19372,72491,1592,,,,,,
1318,1318,72261,2948,,,,,,
1332,1332,72344,2971,,,,,,
743,743,72131,1676,,,,,,
915,915,72043,2095,,,,,,
766,766,71447,1734,,,,,,
1293,1293,72339,2906,,,,,,
761,761,72120,1720,,,,,,
969,1243,72388,2814,,,,,,
953,953,71997,2172,,,,,,
916,938,73397,2143,,,,,,
956,956,71979,2180,,,,,,
1270,1270,72373,2865,,,,,,
954,954,71993,2176,,,,,,
913,913,71998,2092,,,,,,
20731,20731,71992,2174,,,,,,
1337,1337,72283,2981,,,,,,
957,957,74949,2181,,,,,,
742,742,72143,1671,,,,,,
933,933,72033,2135,,,,,,
959,959,85898,2188,,,,,,
929,929,72081,2122,,,,,,
20723,20723,72146,1663,,,,,,
19331,964,101305,2205,,,,,,
963,963,0,2196,,,,,,
963,963,84372,2197,,,,,,
1341,1341,19786,2997,,,,,,
1310,1313,72289,2940,,,,,,
1338,1338,72276,2982,,,,,,
19286,19286,72864,44006,,,,,,
758,19286,72864,44202,,,,,,
763,763,72109,1730,,,,,,
19101,970,72076,2221,,,,,,
944,944,72050,2152,,,,,,
953,953,71996,2173,,,,,,
966,966,79750,2210,,,,,,
966,966,72063,2211,,,,,,
738,738,72450,1659,,,,,,
916,916,72007,2097,,,,,,
19495,932,71974,2132,,,,,,
1347,1347,798000,3005,,,,,,
19675,941,71973,2147,,,,,,
1245,1245,72390,2817,,,,,,
1325,1325,72350,2959,,,,,,
1244,1244,72361,2816,,,,,,
1244,1255,74190,2837,,,,,,
729,729,72467,1618,,,,,,
965,965,72057,2208,,,,,,
1246,1248,72380,2821,,,,,,
1246,1164,72847,2673,,,,,,
1246,531,91668,1170,,,,,,
928,928,72091,2120,,,,,,
960,960,72013,2189,,,,,,
711,711,72779,1578,,,,,,
1310,1310,72301,2935,,,,,,
724,724,72503,1609,,,,,,
716,716,72716,1587,,,,,,
19661,19661,72457,1565,,,,,,
1259,1259,72218,2845,,,,,,
1257,1257,72215,2841,,,,,,
942,942,71977,2149,,,,,,
704,608,72418,1312,,,,,,
1256,1256,72220,2839,,,,,,
1256,1256,72219,2840,,,,,,
749,749,72183,1689,,,,,,
1260,1260,72235,2847,,,,,,
759,759,72210,1713,,,,,,
20738,1265,72385,2850,,,,,,
19495,19495,0,2127,,,,,,
1024,1024,72673,2362,,,,,,
1334,1334,72382,2975,,,,,,
1261,1261,73572,2848,,,,,,
1273,1273,72311,2870,,,,,,
1266,1266,72384,2858,,,,,,
20739,20739,72362,2856,,,,,,
20739,801,73598,1937,,,,,,
696,696,73395,1540,,,,,,
20722,20722,72506,1612,,,,,,
19129,19129,72442,41018,,,,,,
1269,1269,72377,2863,,,,,,
934,934,72005,2136,,,,,,
1274,1274,72321,2871,,,,,,
1274,750,73244,1690,,,,,,
1271,1271,72333,2867,,,,,,
1246,1246,72356,2818,,,,,,
1277,1277,72306,2878,,,,,,
750,750,72184,1691,,,,,,
19344,19344,72288,2945,,,,,,
1275,638,73379,1355,,,,,,
1275,1275,72310,2875,,,,,,
759,759,72209,1714,,,,,,
711,711,72723,1579,,,,,,
19661,707,72720,1568,,,,,,
719,719,72722,1594,,,,,,
19661,707,72724,1569,,,,,,
699,699,72477,1547,,,,,,
695,695,72410,1538,,,,,,
1278,1278,72245,2881,,,,,,
20738,20738,72234,2844,,,,,,
1288,1288,72393,2900,,,,,,
708,708,80374,1571,,,,,,
935,935,0,2139,,,,,,
697,697,72419,1543,,,,,,
1281,1281,72300,2886,,,,,,
1282,1282,72298,2888,,,,,,
19304,19304,72299,43381,,,,,,
1249,1249,72371,2823,,,,,,
753,758,72191,1712,,,,,,
20742,1287,72403,2898,,,,,,
1286,1286,72404,2896,,,,,,
1286,1286,72402,2897,,,,,,
1289,1289,97819,2901,,,,,,
943,943,72000,2151,,,,,,
1288,1288,74907,2899,,,,,,
807,807,73612,1859,,,,,,
1294,1294,72336,2908,,,,,,
19134,19134,72316,41122,,,,,,
708,708,72726,1572,,,,,,
1295,1295,72256,2911,,,,,,
1295,1295,72232,2912,,,,,,
1299,1054,72529,2436,,,,,,
1298,1097,73431,2558,,,,,,
1298,1298,83593,2918,,,,,,
960,960,72017,2190,,,,,,
1297,1297,72233,2916,,,,,,
967,967,72058,2214,,,,,,
1323,1323,72353,2956,,,,,,
944,944,72047,2153,,,,,,
1311,1311,72302,2936,,,,,,
1308,1308,72305,2932,,,,,,
1310,1310,72295,43707,,,,,,
968,968,72045,2216,,,,,,
1314,1314,72274,2942,,,,,,
1315,1315,72290,2943,,,,,,
1315,1315,72287,2944,,,,,,
1342,1342,72307,2998,,,,,,
1276,1276,72259,2876,,,,,,
19344,1319,72260,2949,,,,,,
969,969,72073,2219,,,,,,
20724,20724,72166,1685,,,,,,
1317,1324,72351,2957,,,,,,
1317,888,0,2044,,,,,,
1279,1279,72242,2884,,,,,,
1325,1325,72352,2960,,,,,,
916,932,72006,2133,,,,,,
19113,1348,797800,3007,,,,,,
1323,1104,73412,2571,,,,,,
704,704,72431,43183,,,,,,
896,896,74985,2953,,,,,,
896,896,72863,2058,,,,,,
19675,941,71975,2148,,,,,,
896,1320,0,2950,,,,,,
965,847,72707,1970,,,,,,
970,970,72076,2221,,,,,,
1301,1301,69016,2922,,,,,,
961,961,71984,2192,,,,,,
531,1328,72241,2965,,,,,,
1327,1327,72267,2962,,,,,,
1327,1327,72270,2963,,,,,,
1326,1333,73410,2973,,,,,,
1331,1331,72341,2968,,,,,,
1303,1303,72214,2926,,,,,,
925,925,72044,2111,,,,,,
20197,20197,67040,2969,,,,,,
19225,19225,75815,43591,,,,,,
19968,891,72884,2048,,,,,,
20731,962,72016,2195,,,,,,
1335,1335,72285,2976,,,,,,
1335,801,73622,1838,,,,,,
1277,1277,72308,2879,,,,,,
1336,1032,72574,2385,,,,,,
917,917,72042,2098,,,,,,
1334,1334,72281,2974,,,,,,
708,708,72725,1573,,,,,,
1250,1250,72367,2825,,,,,,
1338,1338,72275,2983,,,,,,
752,752,72197,1699,,,,,,
930,930,72095,2129,,,,,,
928,928,72094,2121,,,,,,
954,954,0,2177,,,,,,
