to,pcts,icds,urban,id,from
1126,ALW-BNS-BUT-002,8104020314,FALSE,1827,1126
1126,ALW-BNS-BUT-001,8104020313,FALSE,1826,1126
1126,ALW-BNS-BUT-003,8104020315,FALSE,1828,1126
1127,ALW-BNS-JJR-001,8104020325,FALSE,1829,1127
1128,ALW-BNS-KNP-002,8104020324,FALSE,1831,1128
1129,ALW-BNS-KHE-001,8104020321,FALSE,1832,1129
1130,ALW-BNS-KTH-001,8104020207,FALSE,1834,1130
1130,ALW-BNS-KTH-002,8104020202,FALSE,1833,1130
1134,ALW-BNS-BSG-002,8104020826,FALSE,1840,1134
1135,ALW-BNS-BAS-001,8104020504,FALSE,1842,1135
1135,ALW-BNS-BAS-002,8104020505,FALSE,1841,1135
1140,ALW-BNS-BSG-001,8104020825,FALSE,1851,1140
1138,ALW-BNS-BLT-003,8104020508,FALSE,1849,1138
1137,ALW-BNS-BLT-002,8104020507,FALSE,1847,1137
1137,ALW-BNS-BLT-001,8104020506,FALSE,1848,1137
1139,ALW-BNS-BUR-002,8104020829,FALSE,1850,1139
19671,ALW-BNS-BUR-001,8104020828,FALSE,29973,19671
20218,ALW-BNS-GYN-001,8104020823,FALSE,1863,20218
20218,ALW-BNS-GYN-002,8104020824,FALSE,1864,20218
1148,ALW-BNS-HLW-002,8104020502,FALSE,1865,1148
1148,ALW-BNS-HLW-001,8104020501,FALSE,1866,1148
1148,ALW-BNS-HLW-003,8104020503,FALSE,1867,1148
1149,ALW-BNS-JTP-002,8104020812,FALSE,1868,1149
1150,ALW-BNS-JTP-003,8104020814,FALSE,1871,1150
1149,ALW-BNS-JTP-004,8104020813,FALSE,1869,1149
1149,ALW-BNS-JTP-001,8104020811,FALSE,1870,1149
1220,ALW-BNS-BSD-001,8104020415,FALSE,2003,1220
1221,ALW-BNS-BSD-003,8104020417,FALSE,2004,1221
1221,ALW-BNS-BSD-002,8104020416,FALSE,2005,1221
1222,ALW-BNS-BSS-001,8104020418,FALSE,2006,1222
1146,ALW-BNS-CHT-006,8104020406,FALSE,1857,1146
20174,ALW-BNS-CHT-004,8104020404,FALSE,1854,20174
1144,ALW-BNS-CHT-008,8104020409,FALSE,1860,1144
1146,ALW-BNS-CHT-007,8104020407,FALSE,1858,1146
20174,ALW-BNS-CHT-001,8104020401,FALSE,1861,20174
20174,ALW-BNS-CHT-005,8104020405,FALSE,1855,20174
1143,ALW-BNS-CHT-009,8104020408,FALSE,1862,1143
20174,ALW-BNS-CHT-002,8104020402,FALSE,1859,20174
20174,ALW-BNS-CHT-003,8104020403,FALSE,1856,20174
1178,ALW-BNS-GIR-003,8104020511,FALSE,1922,1178
1178,ALW-BNS-GIR-001,8104020509,FALSE,1923,1178
1178,ALW-BNS-GIR-002,8104020510,FALSE,1921,1178
1178,ALW-BNS-GIR-004,8104020512,FALSE,1920,1178
1182,ALW-BNS-IND-003,8104020515,FALSE,1934,1182
1181,ALW-BNS-IND-002,8104020514,FALSE,1931,1181
1181,ALW-BNS-IND-001,8104020513,FALSE,1933,1181
1182,ALW-BNS-IND-004,8104020516,FALSE,1932,1182
1204,ALW-BNS-BAB-002,8104021013,FALSE,1975,1204
1204,ALW-BNS-BAB-004,8104021014,FALSE,1974,1204
1205,ALW-BNS-BAB-003,8104021015,FALSE,1973,1205
1204,ALW-BNS-BAB-001,8104021012,FALSE,81880,1204
1160,ALW-BNS-DHK-001,8104020229,FALSE,84756,1160
1131,ALW-BNS-LOY-001,8104020201,FALSE,1835,1131
1163,ALW-BNS-MHN-002,8104020224,FALSE,1892,1163
1163,ALW-BNS-MHN-003,8104020225,FALSE,1891,1163
1163,ALW-BNS-MHN-001,8104020223,FALSE,1893,1163
1214,ALW-BNS-MJR-001,8104021017,FALSE,1993,1214
1214,ALW-BNS-MJR-003,8104021018,FALSE,1994,1214
1213,ALW-BNS-MJR-002,8104021016,FALSE,1995,1213
1132,ALW-BNS-NGL-002,8104020204,FALSE,1836,1132
1132,ALW-BNS-NGL-001,8104020203,FALSE,1837,1132
1171,ALW-BNS-SHH-001,8104021029,FALSE,1905,1171
1171,ALW-BNS-SHH-008,8104021003,FALSE,1903,1171
1171,ALW-BNS-SHH-004,8104021001,FALSE,1906,1171
1171,ALW-BNS-SHH-005,8104021002,FALSE,1904,1171
44008,ALW-BNS-SHH-007,8104021004,FALSE,84717,44008
1133,ALW-BNS-SHN-001,8104020205,FALSE,1839,1133
1133,ALW-BNS-SHN-002,8104020206,FALSE,1838,1133
1173,ALW-BNS-UCH-001,8104020227,FALSE,1909,1173
1173,ALW-BNS-UCH-003,8104020228,FALSE,1907,1173
1172,ALW-BNS-UCH-002,8104020230,FALSE,1908,1172
1174,ALW-BNS-ANN-001,8104020524,FALSE,1911,1174
1174,ALW-BNS-ANN-003,8104020525,FALSE,1891,1163
1175,ALW-BNS-ANN-002,8104020520,FALSE,1913,1175
1177,ALW-BNS-BHP-009,8104020128,FALSE,1915,1177
1176,ALW-BNS-BHP-006,8104020125,FALSE,1916,1176
1177,ALW-BNS-BHP-008,8104020127,FALSE,1914,1177
1176,ALW-BNS-BHP-005,8104020124,FALSE,1918,1176
1176,ALW-BNS-BHP-001,8104020123,FALSE,1919,1176
47233,ALW-BNS-KTR-001,8104020622,FALSE,1935,47233
1179,ALW-BNS-HJP-003,8104020614,FALSE,1928,1179
1179,ALW-BNS-HJP-007,8104020618,FALSE,1925,1179
1180,ALW-BNS-HJP-006,8104020617,FALSE,1927,1180
1179,ALW-BNS-HJP-002,8104020613,FALSE,1929,1179
1179,ALW-BNS-HJP-001,8104020612,FALSE,1926,1179
1179,ALW-BNS-HJP-005,8104020616,FALSE,1924,1179
1179,ALW-BNS-HJP-004,8104020615,FALSE,1930,1179
1184,ALW-BNS-LEK-003,8104020519,FALSE,1939,1184
1184,ALW-BNS-LEK-001,8104020517,FALSE,1937,1184
1184,ALW-BNS-LEK-002,8104020518,FALSE,1938,1184
1185,ALW-BNS-MTH-004,8104020220,FALSE,1940,1185
1185,ALW-BNS-MTH-005,8104020221,FALSE,1945,1185
1186,ALW-BNS-MTH-002,8104020218,FALSE,1942,1186
1185,ALW-BNS-MTH-006,8104020222,FALSE,1944,1185
1186,ALW-BNS-MTH-001,8104020217,FALSE,1941,1186
1186,ALW-BNS-MTH-003,8104020219,FALSE,1943,1186
1187,ALW-BNS-TDY-002,8104020523,FALSE,1947,1187
1187,ALW-BNS-TDY-001,8104020522,FALSE,1946,1187
1191,ALW-BNS-BHR-001,8104020728,FALSE,1953,1191
1192,ALW-BNS-BMN-002,8104020729,FALSE,1952,1192
1193,ALW-BNS-CND-003,8104020608,FALSE,1954,1193
1193,ALW-BNS-CND-002,8104020611,FALSE,1956,1193
1193,ALW-BNS-CND-001,8104020609,FALSE,1955,1193
1194,ALW-BNS-CHU-001,8104020623,FALSE,86781,1194
1194,ALW-BNS-CHU-002,8104020624,FALSE,1957,1194
19987,ALW-BNS-GWA-001,8104020625,FALSE,1959,19987
1195,ALW-BNS-GWA-002,8104020628,FALSE,1960,1195
8237,ALW-BNS-KLY-002,8104020627,FALSE,82866,41057
19835,ALW-BNS-KSH-002,8104020727,FALSE,1970,19835
19835,ALW-BNS-KSH-001,8104020726,FALSE,1969,19835
1203,ALW-BNS-ALN-003,8104020714,FALSE,1971,1203
1202,ALW-BNS-ALN-002,8104020709,FALSE,1972,1202
27773,ALW-BNS-HRS-012,8104020733,FALSE,5083,1095
1189,ALW-BNS-LDP-002,8104020711,FALSE,1948,1189
19722,ALW-BNS-BMN-001,8104020724,FALSE,30040,19722
1206,ALW-BNS-BHG-002,8104020716,FALSE,1977,1206
1206,ALW-BNS-BHG-001,8104020715,FALSE,1978,1206
1207,ALW-BNS-DVS-001,8104020719,FALSE,1979,1207
1207,ALW-BNS-DVS-002,8104020720,FALSE,1980,1207
1209,ALW-BNS-KHT-003,8104020722,FALSE,1988,1209
1210,ALW-BNS-KHT-001,8104020723,FALSE,81215,1210
1209,ALW-BNS-KHT-002,8104020721,FALSE,81217,1209
1211,ALW-BNS-LDP-001,8104020710,FALSE,81241,1211
